id	name	size	proof	abv	spirit_type	brand_id	popularity	image_url	avg_msrp	fair_price	shelf_price	total_score	wishlist_count
17223	Blanton's Special Reserve	700	80	40	Bourbon	10		https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec5KnQV0YhV0ntqf	49.99	95.02	169.13	1119	352
1388	Gentleman Jack	750	80	40	Whiskey	231	62	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recMJdTFCEuv9Gasa	31.09	35.46	32.95	1116	63
634	Murray Hill Club Bourbon	750	103	51.5	Bourbon	406	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recdBG3k0uvuMhLpa	107.48	116.01	115.32	1115	97
40819	Eagle Rare	750	90	45	Bourbon	542	100104	https://d1w35me0y6a2bb.cloudfront.net/newproducts/e79ab340-6d1d-44eb-a18f-110fb8e53a05.jpg	42.99	70.06	69.78	1115	149
269	Old Fitzgerald 13 Year	750	100	50	Bourbon	234	1700	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec9v6rEPcYnC8OqG	132.48	270.86	624.66	1114	816
34488	Little Book Chapter 8: Path Not Taken	750	118.2	59.1	Whiskey	823	100044	https://d1w35me0y6a2bb.cloudfront.net/newproducts/b86b8469-5ad1-4710-b5ef-24afa0e9b3b8	160	220.57	210.82	1108	125
48300	Elijah Craig Barrel Proof C924	750	129	64.5	Bourbon	2	100051	https://d1w35me0y6a2bb.cloudfront.net/newproducts/54cfa519-15a3-4185-bc70-1925b05e8904	75	94.76	76.99	1107	116
23515	Four Roses Single Barrel	750		50	Bourbon	148	100079	https://d1w35me0y6a2bb.cloudfront.net/newproducts/711aa5ca-6e6a-4703-a88a-3caaac44c54e	45.99	62.71	48.29	1105	139
16679	Heaven Hill Old Style Bourbon 6 Year	750	90	45	Bourbon	430	1960	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec11qqeBvScJgPLH	12.99	44.67	39.99	1099	231
2685	Blackened	750	90	45	Whiskey	822	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec1js8KhOJqNHw6c	49.22	52.69	51.16	1098	84
13361	Brother's Bond Bourbon	750	80	40	Bourbon	1876	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/reclEA9hV7oR4EGxj	39.39	50.59	42.13	1098	84
5155	Rittenhouse Rye	750	100	50	Rye	858	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recHMaI0oFqx9ClLz	24.95	34.88	27.59	1095	92
5196	High West Bourye	750	92	46	Whiskey	350	80	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recHGaAYbypekmSmi	80.58	86.76	85.66	1095	218
42342	Heaven Hill Grain to Glass Kentucky Straight Bourbon Whiskey	750	107	53.5				https://d1w35me0y6a2bb.cloudfront.net/newproducts/20614d39-5f60-4b08-91db-a7f4156f68f2.jpg	99.99	107.43	132.73	1105	163
1807	Woodford Reserve Wheat	750	90.4	45.2	Rye	2004	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recRBs5JRVtYEoP1B	37.98	45.24	37.99	1094	81
18004	Orphan Barrel Fabel and Folly	750	90	45	Whiskey	261	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rectbLBFLNISg2Ab7	149.97	207.06	168.99	1094	92
1066	Jack Daniel's No. 27 Gold Maple Wood Finish	750	80	40	Whiskey	231	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recIVtEAkSrf4uwtf	95.75	130.03	175.65	1090	78
3518	Russell's Reserve Single Barrel Rye	750	104	52	Rye	496	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/19833123-67ef-4770-bbfe-e083d0ea0fa7	64.66	78.84	70.82	1090	132
786	Bulleit 95 Rye	750	90	45	Rye	415	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recflLsqY1EqZApGg	28.97	39.08	49.82	1080	88
678	WhistlePig 12 Year Old World	750	86	43	Rye	3549	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recdkdnZXt1yZ2lBI	124.99	152.67	159.15	1077	131
16796	Crown Royal XR Extra Rare 18 Year	750	80	40	Canadian Whisky	182	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recnps7zUiup3vpKm	137.47	176.59	147.06	1077	84
4510	Jefferson's Kentucky Straight Bourbon Whiskey Very Small Batch	750	82	41	Bourbon	232	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recycHV3kmCzwtb4i	34.47	56.61	36.37	1075	58
46500	Angel’s Envy Triple Oak	750	92	46	Bourbon	96	100048	https://d1w35me0y6a2bb.cloudfront.net/newproducts/da9f56c5-a0ed-44f2-a93d-c3035c4cca45.png	75	90.39	71.98	1074	106
16485	Lux Row Limited Edition Whiskey 12 Year	750	118	59	Whiskey	10099	1980	https://d1w35me0y6a2bb.cloudfront.net/newproducts/reck8O4QrafA5Z6At	149.99	237.28	499.16	1073	245
2287	Nikka Whisky From The Barrel	500	102.8	51.4	Whiskey	378	1880	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recXlAIcMueTQwBXN	69.95	75.03	73.26	1072	180
11035	Tito's Handmade Vodka	750	80	40	Vodka	1541	1860	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recvGYjVyVDAXZcw8	19.64	22.79	22.18	1070	87
19556	Kentucky Owl Takumi Edition	750	100	50	Bourbon	779	1800	https://d1w35me0y6a2bb.cloudfront.net/newproducts/c075a247-81b2-4346-9d30-be532fd11fa3	142.48	145.32	147.18	1070	61
1130	WhistlePig 10 Year Straight Rye	750	100	50	Rye	3549	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recJBItb1ZPUh8za1	82.45	96.44	95.97	1065	115
